WDPAID,median,upper,lower
36261,0.378,0.528,0.259
29455,0.373,0.531,0.178
36297,0.402,0.525,0.249
36445,0.364,0.542,0.175
36472,0.296,0.512,0.169
40876,0.446,0.803,0.308
36213,0.428,0.689,0.184
36571,0.3,0.531,0.122
313423,0.421,0.779,0.241
26559,0.47,0.811,0.291
36454,0.357,0.514,0.196
36210,0.35,0.947,0.147
352616,0.631,0.993,0.194
40844,0.55,0.795,0.392
36214,0.428,0.689,0.184
300885,0.621,0.788,0.37
641,0.389,0.611,0.245
300941,0.748,0.91,0.557
36531,0.299,0.424,0.153
36532,0.291,0.517,0.161
36183,0.3,0.405,0.197
36597,0.469,0.891,0.248
36423,0.383,0.488,0.176
300781,0.413,0.678,0.169
36469,0.38,0.727,0.202
36520,0.503,0.619,0.157
36392,0.314,0.419,0.156
36171,0.325,0.675,0.15
303935,0.405,0.778,0.157
36416,0.417,0.534,0.213
36714,0.344,0.67,0.186
36690,0.532,0.854,0.217
36612,0.473,0.808,0.228
36570,0.426,0.757,0.242
36353,0.431,0.747,0.233
36637,0.446,0.827,0.26
29634,0.623,0.814,0.421
36691,0.537,0.871,0.219
555512170,0.564,0.813,0.319
