name,country,designation,iucn_cat,WDPAID
Ben West,GHA,Forest Reserve,Not Reported,40849
Bena,TGO,Forest Reserve,Not Reported,300836
Benisheikh,NGA,Forest Reserve,Not Reported,36440
Bere,CIV,Classified Forest,Not Reported,300813
Beregadougou,BFA,Classified Forest,Not Reported,28560
Besso,CIV,Classified Forest,Not Reported,29514
Bia Tano Blk 1,GHA,Forest Reserve,Not Reported,303952
Bia Tano,GHA,Forest Reserve,Not Reported,40752
Bia Tawya,GHA,Forest Reserve,Not Reported,40811
Bia Trans,GHA,Forest Reserve,Not Reported,303960
Bia Tributaries North,GHA,Forest Reserve,Not Reported,40812
Bia,GHA,National Park,II,672
Bia,GHA,Resource Reserve,VI,5150
Bida Bornu State,NGA,Forest Reserve,Not Reported,36233
Bida Niger State,NGA,Forest Reserve,Not Reported,36598
Biliri Hills,NGA,Forest Reserve,Not Reported,36692
Bilisu,GHA,Forest Reserve,Not Reported,303948
Bimpong,GHA,Forest Reserve,Not Reported,40730
Binder-Lere,TCD,Faunal Reserve,IV,5168
Binti,GIN,Classified Forest,Not Reported,29394
Birim Extension,GHA,Forest Reserve,Not Reported,40798
Birim,GHA,Forest Reserve,Not Reported,40797
Birnin Gwari,NGA,Forest Reserve,Not Reported,36374
Birniwa Railway,NGA,Forest Reserve,Not Reported,36269
Birniwa,NGA,Forest Reserve,Not Reported,36468
Bissaula,NGA,Forest Reserve,Not Reported,36900
Bissiga,BFA,Classified Forest,Not Reported,28536
Boa,CIV,Classified Forest,Not Reported,300797
Boabeng-Fiema,GHA,Wildlife Sanctuary,IV,26462
Bobiri,GHA,Forest Reserve,Not Reported,40863
Bodi,GHA,Forest Reserve,Not Reported,40814
Bodio Doubele,CIV,Classified Forest,Not Reported,29535
Bodor Hill,NGA,Forest Reserve,Not Reported,36496
Boe,GNB,National Park,Not Reported,342670
Boe,GNB,Hunting Reserve,Not Reported,11609
Boin River,GHA,Forest Reserve,Not Reported,40835
Boin Tano,GHA,Forest Reserve,Not Reported,40834
Bojeni Hills,SLE,Forest Reserve,Not Reported,29983
Bokori,NGA,Forest Reserve,Not Reported,36361
Boli,CIV,Classified Forest,Not Reported,300861
Bolo,CIV,Classified Forest,Not Reported,29585
Bombi,GHA,Forest Reserve,Not Reported,26441
Bomfobiri,GHA,Wildlife Sanctuary,IV,5155
Bomfoum,GHA,Forest Reserve,Not Reported,40864
Bong Mountain,LBR,National Park,Not Reported,555512167
Bongouanou,CIV,Classified Forest,Not Reported,300887
Bonkoni,GHA,Forest Reserve,Not Reported,40753
Bonsa Ben,GHA,Forest Reserve,Not Reported,40850
Bonsa River,GHA,Forest Reserve,Not Reported,40827
Bonsam Bepo,GHA,Forest Reserve,Not Reported,40754
Bontioli,BFA,Faunal Reserve,IV,4489
Bonu,NGA,Forest Reserve,Not Reported,36621
Bopong,GHA,Forest Reserve,Not Reported,303941
Borgu,NGA,Forest Reserve,Not Reported,36573
Borotou,CIV,Classified Forest,Not Reported,29644
Bosomkese,GHA,Forest Reserve,Not Reported,40755
Bosomoa,GHA,Forest Reserve,Not Reported,40871
Bosso Dam,NGA,Forest Reserve,Not Reported,36606
Bosumtwi Range,GHA,Forest Reserve,Not Reported,40674
Botokoly,GIN,Classified Forest,Not Reported,29339
Bouafle,CIV,Classified Forest,Not Reported,300880
Bouahoum,BFA,Classified Forest,Not Reported,313432
Boucle de la Pendjari,BEN,National Park,II,597
Bougouriba,BFA,Classified Forest,Not Reported,28545
Boula,GIN,Classified Forest,Not Reported,29419
Boulal,SEN,Not Reported,Not Reported,352619
Boulon,BFA,Classified Forest,Not Reported,28561
Boundiali,CIV,Classified Forest,Not Reported,300768
Bounou,BFA,Classified Forest,Not Reported,313430
Bounouna,BFA,Classified Forest,Not Reported,28562
Bowiye Range,GHA,Forest Reserve,Not Reported,40856
Brassue,CIV,Classified Forest,Not Reported,29497
Brimso,GHA,Forest Reserve,Not Reported,40731
Buga Hill,NGA,Forest Reserve,Not Reported,36763
Bugau North,NGA,Forest Reserve,Not Reported,36397
Bui,GHA,National Park,II,671
Bukanaw Shelterbelt,GHA,Forest Reserve,Not Reported,40890
Bulangu,NGA,Forest Reserve,Not Reported,36272
Buli Hill,NGA,Forest Reserve,Not Reported,36522
Bunga Hill,NGA,Forest Reserve,Not Reported,36530
Bunkunaw,GHA,Game Production Reserve,Not Reported,303953
Bunu,NGA,Forest Reserve,Not Reported,36768
Bura River,GHA,Forest Reserve,Not Reported,40854
Burashika,NGA,Forest Reserve,Not Reported,36508
Buratai,NGA,Forest Reserve,Not Reported,36499
Burgo,NGA,Forest Reserve,Not Reported,36226
Burra North,NGA,Forest Reserve,Not Reported,36400
Burra West,NGA,Forest Reserve,Not Reported,36535
Buru,GHA,Forest Reserve,Not Reported,40887
Busta,NGA,Forest Reserve,Not Reported,36294
Calicednat,TGO,Forest Reserve,Not Reported,300726
Canjambari,GNB,Faunal Reserve,Not Reported,342659
Canquelifa,GNB,Forest Reserve,Not Reported,342661
Cantanhez Forest,GNB,National Park,Not Reported,351088
Cantanhez Forest,GNB,Hunting Reserve,Not Reported,33049
Cape Three Points,GHA,Forest Reserve,Not Reported,40828
Cece,NGA,Forest Reserve,Not Reported,36631
Central Shendam,NGA,Forest Reserve,Not Reported,36726
Central Wase,NGA,Forest Reserve,Not Reported,36688
